Molecule,SMILES,Rotors,Conformers,ElapsedTime(s),Status
"MOL0091",COc1c(cc2c(n1)c(c(cn2)C(=O)N3CCn4cc(nc4C3)Cl)C(=O)N5CC[C@H](C5)O)F,5,91,0.05
"MOL0092",COc1c(c(n2c(n1)cc(n2)C(=O)c3cc(c[nH]3)F)C(=O)N4CC[C@H](C4)O)CNC(=O)c5ccc(cc5)F,9,200,0.18
"MOL0093",COc1c(cc2c(=O)c(cn(c2n1)CCC(=O)N3CC[C@@H](C3)c4ccc(cc4F)F)[N+](=O)[O-])C(=O)N5CC[C@H](C5)O,9,200,0.17
"MOL0094",COc1c(c2cc([nH]c2cn1)C(=O)C(=O)N3CC[C@H](C3)O)C(=O)N4CCn5c(cnc5c6ccc(cc6)F)C4,7,200,0.09
"MOL0095",COc1c(cc2c(c[nH]c2n1)C(=O)N3CC(C3)O)C(=O)N4CCn5c(cnc5c6ccc(cc6F)F)C4,6,200,0.10
"MOL0096",COc1c(cc2c(c[nH]c2n1)C(=O)C(=O)N3CC[C@H](C3)O)C(=O)N4CCCN(CC4)c5ccc(cc5F)F,7,200,0.11
"MOL0097",COc1c(cc2c(c[nH]c2n1)C(=O)C(=O)N3CC[C@H](C3)O)C(=O)N4CCN(CC4)Cc5ccc(cc5F)F,8,200,0.10
"MOL0098",COc1c(cc2c(c[nH]c2n1)C(=O)C(=O)N3CC[C@H](C3)O)N4CCN(CC4)c5ccc(cc5F)F,6,200,0.09
"MOL0099",COc1cnc(c2c1cc([nH]2)C(=O)N3CC[C@H](C3)O)OC,4,81,0.04
"MOL0100",COc1c(cc(cn1)C(=O)N2CCn3cc(nc3C2)C(=O)CO)C(=O)N4CC[C@H]4c5ccncc5F,8,200,0.15
"MOL0101",Cn1cc(cc1c2cc3cnc(nc3cn2)OC)C(=O)C(=O)N4CC[C@H](C4)O,5,200,0.06
"MOL0102",COc1c(cc2c(n1)cc([nH]2)C(=O)c3c(c[nH]n3)F)C(=O)N4CC[C@H](C4)O,5,200,0.05
"MOL0103",COc1c(cc2c(c[nH]c2n1)C(=O)N3CC[C@H](C3)O)C(=O)[N-]CCn4cc(nc4N5CCC5(F)F)c6ccc(cc6)F,10,200,0.35
"MOL0104",COc1c2c(ccn1)[nH]c(c2c3ccc(cc3F)F)C(=O)C(=O)N4CC[C@H](C4)O,5,200,0.06
"MOL0105",COc1ncc(c2n1c(c(n2)C(=O)C(=O)N3CCC(CC3)F)c4ccc(cc4)F)C(=O)N5CC[C@H](C5)O,7,200,0.17
"MOL0106",COc1c(cc2c(c[nH]c2n1)C(=O)N3CC[C@H](C3)O)C(=O)N4CCc5c(cnn5c6ccc(cc6)F)C4,6,200,0.07
"MOL0107",COc1c2cc(cn2c(cn1)C(=O)N3CC[C@@H](C3)O)C(=O)C(=O)N4CCc5c(ncn5c6ccc(cc6F)F)C4,7,200,0.14
"MOL0108",COc1c(cc2c(c[nH]c2n1)C(=O)N3CC[C@H](C3)O)C(=O)N4CCC(CC4)c5ccc(cc5F)Cl,6,200,0.07
"MOL0109",CN(C(=O)c1cc(cnc1C(=O)N2CC[C@H](C2)O)C(=O)N3CCn4c(cnc4c5ccc(nc5)F)C3)OC,8,200,0.09
"MOL0110",COc1c(cc2c(c[nH]c2n1)C(=O)N3CC[C@H](C3)O)C(=O)N4CC/C(=C\c5ccc(cc5F)F)/C4=O,6,200,0.09
"MOL0111",COc1c(cc2c(c[nH]c2n1)C(=O)N3CC[C@H](C3)O)C(=O)NC(=O)c4cn(cn4)c5ccc(cc5F)F,8,200,0.10
"MOL0112",COc1c(cc2c(c[nH]c2n1)C(=O)c3ccc(cc3)F)C(=O)N4CCn5c(cnc5S(=O)(=O)[N@@]6CC[C@H](C6)O)C4,7,200,0.14
"MOL0113",COc1c(cc(cn1)C(=O)N2CC[C@H](C2)O)C(=O)c3c(cc4ccn(c4n3)F)Cc5c(cc[nH]c5=O)Cl,7,200,0.08
"MOL0114",Cn1c2c(cc(cn2)c3ccc(cc3F)F)c(c1[N-]C(=O)c4cc(c(nc4)OC)CF)C(=O)C(=O)N5CC[C@H](C5)O,9,200,0.20
"MOL0115",COc1c2c(c(cn1)C(=O)c3c[nH]c4c3ccc(c4)c5ccc(cc5F)F)CCN(C2)C(=O)N6CC[C@H](C6)O,6,200,0.52
